type,name,label::english,label::arabic,hint::english,hint::arabic,appearance,required,calculation,constraint,constraint_message::english,constraint_message::arabic,relevant,default,repeat_count,choice_filter,
start,start,start,???????,,,,,,,,,,,,,
end,end,end,???????,,,,,,,,,,,,,
today,today,today,????? ?????,,,,,,,,,,,,,
deviceid,deviceid,deviceid,??? ??????,,,,,,,,,,,,,
text,g_enum_last_name,G2. Enumerator Name,G2.??? ??????,,,,yes,,,,,,,,,
text,g_enum_name,G2.1 Enumerator Family Name,G2.1 .??? ????? ??????,,,,yes,,,,,,,,,
select_one enum_agency,g_enum_agency,G3. What is the enumerators agency? ,G3.?? ?? ????? ???????,,,,yes,,,,,,,,,
text,g_enum_agency_other,"G3.1 If other, please specify:","G3.1.??? ????, ?????? ???????",,,,yes,,,,,"selected(${g_enum_agency},'777')",,,,
select_one governorate,g_governorate,G4. Governorate,G4.????????,,,,yes,,,,,,,,,
select_one_external district,g_district,G5. District,G5.????????,,,,yes,,,,,,,,governorate = ${g_governorate},
select_one_external subdistrict,g_sub_district,G6. Sub-district,G6.????,,,,,,,,,,,,district=${g_district},
select_one_external location,g_location,G7. Location,G7.??? ??????,,,,,,,,,,,,subdistrict=${g_sub_district},
text,g_sub_district_other,"G7.1 If other, please specify","G7.1.??? ????, ?????? ???????",,,,yes,,,,,"selected(${g_sub_district},'other')",,,,
text,g_location_other,"G7.2 If other, please specify","  G7.2.??? ????, ?????? ???????",,,,yes,,,,,"selected(${g_location},'other')",,,,
select_one urbanrural,g_urbanrural,G8. Type of location,G8.??? ???????,A peri-urban location is a settlement next to an urban area (next to a city),?????? ??? ?????? ?? ??????? ????? ????? ????? (????? ???????),,yes,,,,,,,,,
select_one resident,g_resident,G9. What is the status of the community members?,G9.?? ?? ??? ????? ????????,Select one,???? ?????,,yes,,,,,,,,,
integer,g_population,G10. What is approximately the number of households living in this location?,G10.?? ?? ??? ???????? ????? ???? ???? ?? ??? ???????,"For don't know, type 888. ","??? ?? ????? ???? 888",,yes,,,,,,,,,
select_one yesno,g_population_check,G10.1 Are you sure the number of households living in this location is ${g_population}?  ,10.1 ?? ??? ????? ?? ??? ????? ???? ???? ?? ??? ?????? ?? ${g_population} ?,,,,yes,,,,,(${g_population} > 750000) or (${g_population} < 200),,,,
integer,g_population_correct,G10.2 Please enter the correct estimated amount of households living in this location,G10.2.???? ????? ????? ?????? ?????? ????? ???? ???? ?? ??? ??????,"For don't know, type 888. ","??? ?? ????? ???? 888",,yes,,,,,"selected(${g_population_check},'2') or selected(${g_population_check},'888') or selected(${g_population_check},'999')",,,,
select_one yesnoconsent,g_consent,"G11. Hello, my name is [SAY YOUR NAME] and I am working for [SAY NAME OF YOUR ORGANIZATION], and we are conducting interviews to inform the humanitarian response for Yemen. This interview will take around 15 minutes. Information that you provide will not be identifiable and will be anonymous. Participation in this interview is voluntary and you can choose not to answer any or all of the questions. You are free to stop this interview at any time. Are you willing to be interviewed?","G11.?????? ???? [????] ????? ?????? [??? ??????? ???? ???? ???] ? ???? ???? ???? ??????? ?????? ????????? ????????? ?? ?????. ?????? ??? ???????? ????? 15 ?????. ????????? ???? ??????? ??? ?? ???? ????? ??????? ?????? ??????. ????????? ?? ??? ???????? ????? ?????? ??? ??????? ??? ?? ?? ??????? ?? ??????. ???? ?? ?? ????? ??? ???????? ?? ?? ???. ?? ??? ??? ??????? ?????? ?????????",,,,yes,,.='1',"If the Key Informant does not want to be interviewed, close the form.","??? ?? ???? ?????? ??????? ????????? ?? ????????, ?????? ????? ?????????.",,,,,
begin_group,G0_End,0,0,,,,,,,,,"selected(${g_consent},'1')",,,,
text,g_position_KI,G12. What is the role of the Key Informant in the community?,G12.?? ??? ?????? ??????? ?? ????????,,,,yes,,,,,,,,,
select_one yesno,g_assistance,G13. Are there organizations or persons providing WASH or cholera assistance in this community during the past 2 months?,G13.?? ???? ??????/ ????? ?????? ??????? ?????? ?????? ????? ???????? ?? ???????? ?? ??? ??????? ???? ??????? ?????????,,,,yes,,,,,,,,,
integer,g_orgaid,"G13.1 If yes, how many organizations or persons have provided WASH or cholera assistance in this community?","G13.1.??? ???? ??????? ???, ?? ??? ??????? ?? ???????? ???? ???? ??????? ????????, ?????? ?????? ??????","For don't know, type 888. For refuse to answer, type 999","??? ?? ????? ???? 888",,yes,,.>0,,,"selected(${g_assistance},'1')",,,,
select_one yesno,g_orgaid_check,G13.2 Are you sure the number of organizations providing WASH or cholera assistance in this community is ${g_orgaid_check}?  ,G13.2.?? ??? ????? ?? ?? ??? ???????? ???? ???? ?????? ????? ??????? ?????? ????? ?? ???????? ?? ??? ??????? ?? ${g_orgaid_check} ?,,,,yes,,,,,(${g_orgaid} > 9) or (${g_population} < 1),,,,
integer,g_orgaid_correct,G13.2.1 Please enter the correct estimated amount of organizations providing WASH or cholera assistance in this community,G13.2.1.???? ????? ????? ?????? ???????? ???? ???? ?????? ????? ??????? ?????? ????? ?? ???????? ?? ??? ???????,,,,yes,,.<=20 and .>0,,,"selected(${g_orgaid_check},'2') or selected(${g_orgaid_check},'888') or selected(${g_orgaid_check},'999')",,,,
calculate,calc_g_1,,,,,,,"if((((${g_orgaid} != 888) and (${g_orgaid} != 999)) and selected(${g_orgaid_check},'1')),${g_orgaid},if((((${g_orgaid} != 888) and (${g_orgaid} != 999)) and selected(${g_orgaid_check},'2')),${g_orgaid_correct},0))",,,,,,,,
begin_repeat,g_orgaidloop,Record the name of each organization that provided aid in this community during the past 2 months as well as the type of aid provided,??? ??? ?? ???????? ???? ???? ???????? ???? ??????? ???????? ???? ???????? ??????? ?? ??? ??????? ,,,,,,,,,"((${g_orgaid} != 888) and (${g_orgaid} != 999)) and selected(${g_assistance},'1')",,${calc_g_1},,
text,g_Name_of_Organization,G13.5 Record the name of the organization,G13.5.???? ??? ??????? ,,,,yes,,,,,,,,,
select_one org,g_orgtype,G13.3 What type of organization is this?,G13.3.?? ??? ??? ????????,,,,yes,,,,,,,,,
select_multiple aidtype,g_org_aid,G13.6 What type of aid did this organization provide in this community during the past 2 months?,G13.6.?? ??? ????????? ???? ?????? ??? ??????? ??????? ???? ??????? ?????????,"If this is not known, please write that it is not known.",??? ??? ??? ??? ????? ?????? ????? ??? ??? ?????.,,yes,,"not((selected(${g_org_aid},'888') or selected(${g_org_aid},'999')) and count-selected(.)>1)",,,,,,,
end_repeat,g_orgaidloop,,,,,,,,,,,,,,,
begin group,W1_Water,1. Water,1.?????? ,,,,,,,,,,,,,
select_one watersource,w_mainsource,W1. What is the main source of water used by people in the community for drinking?,W1.?? ?? ???? ?????? ??????? ???????? ????? ?? ??? ??????? ?? ????????,Select one,???? ?????,,yes,,,,,,,,,
select_one watersource,w_drinksource,"W2. What is the main source of water used by people in the community for other purposes such as cooking, bathing and washing?",W2.?? ?? ???? ?????? ??????? ???????? ?? ??? ??????? ?? ??????? ?????? ???? ?????? ?????????? ????????,select one,???? ?????,,yes,,,,,,,,,
select_one yesno,w_waterappear,"W3. Did community members have any issues relating to taste, appearance, or smell of their main drinking water source in the last 30 days? ",W3.?? ???? ????? ??????? ?? ????? ????? ????? ?? ??? ?? ????? ???? ???? ????? ??????? ????? ??? ?? ??? 30 ??????,select one,???? ?????,,yes,,,,,,,,,
select_multiple smellwater,w_watersmell,"W3.1 If yes, what are the issues?","W3.1.??? ???? ?? ?? ????????",(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_watersmell},'888') or selected(${w_watersmell},'999')) and count-selected(.)>1)",,,"selected(${w_waterappear},'1')",,,,
select_one how_many,w_waterneeds,"W4. Do people in the community have enough water for drinking, cooking, bathing and washing? ",W4.?? ??? ??????? ?? ??????? ?? ???? ?? ?????? ????? ?????? ?????????? ??????? ? ,select one,???? ?????,,yes,,,,,,,,,
select_one yesno,w_wateraccess,W5. Do people in the community have problems related to access to water?,W5.?? ????? ??????? ?? ??????? ????? ?????? ??????? ??? ???????,,,,yes,,,,,,,,,
select_multiple wateraccess,w_accessproblem,"W5.1 If yes, which problems?","W5.1.??? ???? ?? ?? ????????",(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_accessproblem},'888') or selected(${w_accessproblem},'999')) and count-selected(.)>1)",,,"selected(${w_wateraccess},'1')",,,,
text,w_accessproblem_other,"W5.2 If other, please specify:","W5.2 .??? ????? ???? ???????",,,,yes,,,,,"selected(${w_accessproblem},'777')",,,,
select_one how_many,w_treatwater,W6. Do people in the community treat water  in any way to make it safer to drink?,W6.?? ??? ?????? ?????? ?? ??? ??????? ?? ??????? ??? ????? ?????? ???? ?????? ,select one,???? ?????,,yes,,,,,,,,,
select_multiple treatmethod,w_treatmethod,W6.1 What are the methods that people use for treating water to make it safer?,W6.1.?? ?? ???????? ???? ???????? ??????? ??????? ?????? ?????? ???? ??????,(Select all that apply),(???? ?? ?? ?????),,yes,,"not((selected(${w_treatmethod},'888') or selected(${w_treatmethod},'999')) and count-selected(.)>1)",,,"selected(${w_treatwater},'2') or selected(${w_treatwater},'3') or selected(${w_treatwater},'4') or selected(${w_treatwater},'5')",,,,
text,w_treatmethod_other,"W6.1 If other, please specify:","W6.1.??? ????? ???? ???????",,,,yes,,,,,"selected(${w_treatmethod},'777')",,,,
note,w_note,Please rank the water treatment methods that are being used in this community.,????? ??? ?????? ?????? ?????? ????????? ?? ??? ???????,,,,,,,,,,,,,
integer,w_treatrank_stand,W6.1 What is the rank of this method 'stand and settle'?,"W6.1.?? ?? ???? ??? ??????? ""????? ?????""?","1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'1')",,,,
integer,w_treatrank_boiling,W6.1 What is the rank of this method 'boiling'?,W6.1 .?? ?? ???? ??? ??????? '?????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'2')",,,,
integer,w_treatrank_sun,W6.1 What is the rank of this method 'sunlight'?,"W6.1.?? ?? ???? ??? ??????? ""??????? ?????""?","1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'3')",,,,
integer,w_treatrank_chlorine,W6.1 What is the rank of this method 'chlorine'?,W6.1.?? ?? ???? ??? ??????? '??????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'4')",,,,
integer,w_treatrank_filter,W6.1 What is the rank of this method 'filter'?,W6.1 .?? ?? ???? ??? ??????? '???????'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'5')",,,,
integer,w_treatrank_other,W6.1 What is the rank of this method ' ${w_treatmethod_other} '?,W6.1.?? ?? ???? ??? ??????? '????_????? ??????_??????)'?,"1=most used; 2=second most used; 3=third most used, et cetera","1= ?????? ????????; 2=?????? ???? ???????? ,3=?????? ???? ???????? , ???",,yes,,.>0 and .<7,,,"selected(${w_treatmethod},'777')",,,,
select_one who,w_treatwater_who,W6.2 Who usually treats the water? ,W6.2.?? ????? ?????? ??????,,,,yes,,,,,"selected(${w_treatwater},'2') or selected(${w_treatwater},'3') or selected(${w_treatwater},'4') or selected(${w_treatwater},'5')",,,,
select_one whynot_treat,w_whynot_treat,W6.3 Why do people not treat their water?,W6.3.????? ?? ???? ??????? ??????? ?????? ?????? ???? ,select one,???? ?????,,yes,,,,,"selected(${w_treatwater},'1')",,,,
text,w_whynot_treat_other,"W6.4 If other, please specify:","W6.4.??? ????? ???? ???????",,,,yes,,,,,"selected(${w_whynot_treat},'777')",,,,
select_one yesno,w_chlorinedistribution,W7. Has there been a chlorine (tablet/liquid/powder) distribution in the community?,W7.?? ??? ???? ?????  ?????? ??????? /??????/ ??????? ?? ??? ????????,,,,yes,,,,,,,,,
select_one year,w_chlorineyear,"W7.1 If yes, please enter the year of the last distribution","W7.1.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${w_chlorinedistribution},'1')",,,,
select_one month,w_chlorinemonth,"W7.2 If yes, please enter the month of the last distribution","W7.2.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${w_chlorinedistribution},'1')",,,,
select_one how_many,w_jerrycan,W8. How many people in the community have at least one jerry can?,W8.?? ??? ??????? ?? ??? ??????? ???? ??? ????? ??? ???????? ????? ,Select one,???? ?????,,yes,,,,,,,,,
select_one yesno,w_jerrycandistribution,W9. Has there been a jerry can distribution in the community?,W9.?? ??? ???? ????? ?????? ??????????? ?? ????????,,,,yes,,,,,,,,,
select_one year,w_jerrycanyear,"W9.1 If yes, please enter the year of the last distribution","W9.1.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${w_jerrycandistribution},'1')",,,,
select_one month,w_jerrycanmonth,"W9.2 If yes, please enter the month of the last distribution","W9.2.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${w_jerrycandistribution},'1')",,,,
end group,W1_Water,,,,,,,,,,,,,,,
begin group,H2_Hygiene,2. Hygiene,2.??????? ,,,,,,,,,,,,,
select_one how_many,h_have_soap,H1.Do people in the community have enough soap?,H1. ?? ??? ??????? ?? ??? ??????? ????? ?? ???? ?? ????????,"Soap includes soap bar; liquid soap; powder detergent; and soapy water, as well as ash and other handwashing agents. (Select one)","????? ???????: ??? ??????? ?????? ???? ?????? ?????? ?????? ??????? ???????? ???????? ??? ?????? ????? ???? ?????? ??????
(???? ?????)
",,yes,,,,,,,,,
select_one yesno,h_soapaccess,H2. Do people in the community have problems related to accessing soap?,H2.?? ????? ??????? ?? ??? ??????? ????? ????? ??????? ??? ????????,,,,yes,,,,,,,,,
select_one soapaccess,h_soap_problem,"H2.1 If yes, what problems do people experience related to accessing soap?","H2.1.??? ???? ?? ??????? ???? ????? ??????? ??? ????? ??????? ??? ???????? ",Select one,???? ?????,,yes,,,,,"selected(${h_soapaccess},'1')",,,,
text,h_soap_problem_other,"H2.2 If other, please specify:","H2.2.??? ????? ???? ???????",,,,yes,,,,,"selected(${h_soap_problem},'777')",,,,
select_one yesno,h_soapdistribution,H3. Has there been a soap distribution in the community?,H3.?? ??? ???? ????? ??????? ?? ??? ????????,,,,yes,,,,,,,,,
select_one year,h_soapyear,"H3.1 If yes, please enter the year of the last distribution","H3.1.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${h_soapdistribution},'1')",,,,
select_one month,h_soapmonth,"H3.2 If yes, please enter the month of the last distribution","H3.2.??? ???? ?????? ????? ??? ??? ?????",,,,yes,,,,,"selected(${h_soapdistribution},'1')",,,,
select_one yesno,h_campaign,H4. Have any hygiene awareness campaigns taken place in the community during the past 12 months?,H4.?? ???? ????? ?????? ??????? ??????? ?? ??? ??????? ???? ?????? ??? ???? ???????? ,,,,yes,,,,,,,,,
select_one yesno,h_staff,H5. Are there staff in the community who already have the skills and time for conducting hygiene awareness campaigns?,H5.?? ???? ?????? ?? ??????? ????? ???????? ?????? ?????? ????? ?????? ??????? ???????? ,,,,yes,,,,,,,,,
end group,H2_Hygiene,,,,,,,,,,,,,,,
begin group,S3_Sanitation,3. Sanitation,3.????? ?????,,,,,,,,,,,,,
select_one how_many,s_latrineaccess,S1. How many households in the community have access to a functioning latrine?,S1.?? ??? ????? ?? ??? ??????? ????? ?????? ?????? ??? ??????/?????? ??????,,,,yes,,,,,,,,,
select_one latrinetype,s_latrinetype,S2. What are the most common types of sanitation facilities (latrines/toilets) used by people in the community?,S2.?? ?? ???? ????? ????? ????? ????? ?????? (???????? / ????????) ???? ???????? ??????? ?? ????????,Select one,???? ?????,,yes,,,,,,,,,
select_multiple latrineaccess,s_latrineissues,S3 What are the issues with the latrines?,S3.?? ?? ??????? ???????? ?????????? ,Select all that apply,???? ?? ?????? ,,yes,,"not((selected(.,'888') or selected(.,'999')) and count-selected(.)>1)",,,"not(selected(${s_latrineaccess},'5') or selected(${s_latrineaccess},'888') or selected(${s_latrineaccess},'999'))",,,,
select_one yesno,s_accessgroupyesno,S4. Are there any specific groups that have no access to adequate latrines?,S4.?? ???? ?? ??????? ????? ??? ????? ??????? ?????? ???? ???? ??? ???????? ?,,,,yes,,,,,"not(selected(${s_latrineaccess},'5') or selected(${s_latrineaccess},'888') or selected(${s_latrineaccess},'999'))",,,,
select_multiple accessgroup,s_accessgroup,S4.1 Which groups have no adequate access to latrines?,S4.1.?? ?? ????????? ???? ?? ???  ?????  ??? ?????????,Select all that apply,???? ?? ?????? ,,yes,,"not((selected(.,'888') or selected(.,'999')) and count-selected(.)>1)",,,"selected(${s_accessgroupyesno},'1')",,,,
text,s_accessgroup_other,"S4.1 If other, please specify:","S4.1.??? ????, ?????? ???????",,,,yes,,,,,"selected(${s_accessgroup},'777')",,,,
select_one yesno,s_garbage_collection,S5. Is household garbage collected regularly in the community?,S5.?? ???? ??????? ???????? ??????? ?? ??? ????????,,,,yes,,,,,,,,,
select_one who,s_garbage_responsible,S6.  Who in the household is usually responsible for the household garbage?,S6.?? ?? ??????? ?? ??????? ?? ?????? ??????,,,,yes,,,,,,,,,
select_one yesno,s_garbage_disposal,S7. Is household garbage disposed in containers in the community?,S7.?? ??? ?????? ?? ??????? ???????? ?? ???????? ?? ??? ????????,,,,yes,,,,,,,,,
select_one how_many,s_ors,S8. How many households in the community know how to prepare ORS?,S8.?? ??? ????? ?? ?????? ?????? ???? ???? ????? ????? ????? ??????? ??????? ORS ???? ?????????,ORS=oral rehydration solution,ORS= ????? ??????? ???????,,yes,,,,,,,,,
select_one orswho,s_ors_who,S8.1 Which person in the household is usually responsible for preparing the ORS?,S8.1.?? ??? ?? ?????? ?? ??????? ???? ?? ????? ????? ??????? ????????,,,,yes,,,,,"selected(${s_ors},'2') or selected(${s_ors},'3') or selected(${s_ors},'4') or selected(${s_ors},'5')",,,,
text,s_ors_who_other,"S8.2 If other, please specify:","S8.2.??? ????, ?????? ???????",,,,yes,,,,,"selected(${s_ors_who},'777')",,,,
select_one yesno,s_orc,S9. Is there a ORC or DTC that is within 30 minutes walking for all community members?,S9.?? ???? ???? ????? ??????? ??????? (ORC) ?? ???? ???? ??????? (DTC) ??? ??? 30 ????? ????? ?? ???? ????? ????????,ORC=oral rehydration corner; DTC=diarrhoea treatment centre,ORC= ???? ????? ??????? ???????? ; DTC= ???? ???? ??????? ,,yes,,,,,,,,,
end group,S3_Sanitation,,,,,,,,,,,,,,,
note,x_Note,Thank you very much for your time and your answers,"???? ????? ??? ???? ????????
",,,,,,,,,,,,,
select one phonepaper,x_form,X1. Was this interview done using a mobile telephone or a paper-form?,X1.?? ?? ????? ??? ???????? ???????? ???? ????? ?? ????? ?????,This question is to be answered by the enumerator,"??? ??? ?????? ??????? ??? ??? ??????
",,yes,,,,,"selected(${g_consent},'1')",,,,
image,x_form_picture_1,Please take a picture of the first page of the form,????? ????? ???? ?????? ?????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_2,Please take a picture of the second page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_3,Please take a picture of the third page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
image,x_form_picture_4,Please take a picture of the fourth page of the form,????? ????? ???? ?????? ??????? ?? ?????????,,,,,,,,,"selected(${x_form},'2')",,,,
end_group,G0_End,,,,,,,,,,,,,,,
