"","Subset","Peri-Urban","Rural","Urban"
"1","Ad Dahi","100% ",NA,NA
"2","Ad Dis",NA,"100% ",NA
"3","Ad Durayhimi",NA,"100% ",NA
"4","Adh Dhlia'ah","60% ","20% ","20% "
"5","Aflah Al Yaman",NA,"100% ",NA
"6","Aflah Ash Shawm","100% ",NA,NA
"7","Ahwar","33% ","67% ",NA
"8","Al A'rsh","50% ","50% ",NA
"9","Al Abdiyah","67% ",NA,"33% "
"10","Al Abr","100% ",NA,NA
"11","Al Ashah","100% ",NA,NA
"12","Al Bayda",NA,"100% ",NA
"13","Al Bayda City","100% ",NA,NA
"14","Al Buraiqeh",NA,"50% ","50% "
"15","Al Dhaher","50% ","50% ",NA
"16","Al Dhihar",NA,"50% ","50% "
"17","Al Ghaydah",NA,"33% ","67% "
"18","Al Ghayl","50% ","50% ",NA
"19","Al Had","100% ",NA,NA
"20","Al Hajjaylah",NA,NA,"100% "
"21","Al Hashwah","50% ","50% ",NA
"22","Al Haymah Ad Dakhiliyah",NA,NA,"100% "
"23","Al Haymah Al Kharijiyah",NA,"100% ",NA
"24","Al Hazm",NA,"50% ","50% "
"25","Al Humaydat","100% ",NA,NA
"26","Al Husha",NA,NA,"100% "
"27","Al Hussein",NA,NA,"100% "
"28","Al Jabin",NA,NA,"100% "
"29","Al Jafariyah","50% ","50% ",NA
"30","Al Jubah",NA,"100% ",NA
"31","Al Khalq","33% ","33% ","33% "
"32","Al Ma'afer","100% ",NA,NA
"33","Al Madan","50% ","50% ",NA
"34","Al Madaribah Wa Al Arah","50% ","50% ",NA
"35","Al Maghrabah","43% ","57% ",NA
"36","Al Mahabishah","20% ","80% ",NA
"37","Al Mahwait","50% ","50% ",NA
"38","Al Makhadir","100% ",NA,NA
"39","Al Malagim",NA,NA,"100% "
"40","Al Manar","100% ",NA,NA
"41","Al Mansura","50% ",NA,"50% "
"42","Al Mansuriyah","60% ","40% ",NA
"43","Al Marawi'ah","67% ",NA,"33% "
"44","Al Masilah",NA,"50% ","50% "
"45","Al Maslub",NA,"100% ",NA
"46","Al Matammah",NA,"100% ",NA
"47","Al Maton","50% ",NA,"50% "
"48","Al Mawasit",NA,NA,"100% "
"49","Al Miftah","100% ",NA,NA
"50","Al Milah",NA,"100% ",NA
"51","Al Mina","100% ",NA,NA
"52","Al Misrakh",NA,"50% ","50% "
"53","Al Mualla",NA,"100% ",NA
"54","Al Mukalla","50% ",NA,"50% "
"55","Al Mukalla City",NA,"100% ",NA
"56","Al Mukha",NA,"50% ","50% "
"57","Al Munirah",NA,"100% ",NA
"58","Al Musaymir","50% ",NA,"50% "
"59","Al Qaf",NA,"33% ","67% "
"60","Al Qaflah",NA,"100% ",NA
"61","Al Qahirah",NA,NA,"100% "
"62","Al Qanawis","50% ",NA,"50% "
"63","Al Qatn","100% ",NA,NA
"64","Al Talh",NA,"100% ",NA
"65","Al Udayn",NA,"33% ","67% "
"66","Al Wazi'iyah",NA,"50% ","50% "
"67","Alluheyah","50% ",NA,"50% "
"68","Amran",NA,"50% ","50% "
"69","Anss",NA,NA,"100% "
"70","Ar Rawdah","100% ",NA,NA
"71","Ar Raydah Wa Qusayar","100% ",NA,NA
"72","Ar Ryashyyah",NA,NA,"100% "
"73","Arhab",NA,NA,"100% "
"74","Arma",NA,NA,"100% "
"75","As Sabain",NA,"100% ",NA
"76","As Sabrah",NA,"100% ",NA
"77","As Saddah",NA,"50% ","50% "
"78","As Safra","100% ",NA,NA
"79","As Said","50% ",NA,"50% "
"80","As Salafiyah","100% ",NA,NA
"81","As Sawadiyah","100% ",NA,NA
"82","As Sawm","100% ",NA,NA
"83","As Sawma'ah",NA,NA,"100% "
"84","As Silw","50% ","50% ",NA
"85","As Sudah","100% ",NA,NA
"86","Ash Sha'ir","33% ",NA,"67% "
"87","Ash Shaghadirah","40% ","40% ","20% "
"88","Ash Shahil",NA,"100% ",NA
"89","Ash Shamayatayn",NA,"100% ",NA
"90","Ash Shihr","100% ",NA,NA
"91","Ash Shu'ayb",NA,"100% ",NA
"92","Assafi'yah",NA,"100% ",NA
"93","At Ta'iziyah",NA,NA,"100% "
"94","At Taffah",NA,NA,"100% "
"95","At Tahrir","50% ",NA,"50% "
"96","At Tawilah",NA,"50% ","50% "
"97","Ath'thaorah","100% ",NA,NA
"98","Attawahi","100% ",NA,NA
"99","Attyal",NA,"100% ",NA
"100","Az'zal","50% ","25% ","25% "
"101","Az Zahir (YE1405)","60% ","20% ","20% "
"102","Ba'dan",NA,"100% ",NA
"103","Bajil","100% ",NA,NA
"104","Bakil Al Mir",NA,NA,"100% "
"105","Bani Al Awam",NA,NA,"100% "
"106","Bani Dhabyan","100% ",NA,NA
"107","Bani Hushaysh",NA,"100% ",NA
"108","Bani Matar",NA,"100% ",NA
"109","Bani Suraim",NA,NA,"100% "
"110","Baqim","50% ",NA,"50% "
"111","Bayhan","100% ",NA,NA
"112","Bidbadah","33% ",NA,"67% "
"113","Bilad Ar Rus","100% ",NA,NA
"114","Bilad At Ta'am","50% ","50% ",NA
"115","Brom Mayfa",NA,NA,"100% "
"116","Bura","100% ",NA,NA
"117","Craiter",NA,"100% ",NA
"118","Dar Sad",NA,NA,"100% "
"119","Daw'an",NA,"100% ",NA
"120","Dawran Aness","25% ","25% ","50% "
"121","Dhamar City","50% ","50% ",NA
"122","Dhar","100% ",NA,NA
"123","Dhi Bin","100% ",NA,NA
"124","Dhi Na'im","33% ","33% ","33% "
"125","Dhubab","100% ",NA,NA
"126","Dimnat Khadir",NA,"100% ",NA
"127","Far Al Udayn",NA,"50% ","50% "
"128","Ghamr",NA,"25% ","75% "
"129","Ghayl Ba Wazir","67% ",NA,"33% "
"130","Ghayl Bin Yamin",NA,"50% ","50% "
"131","Habban",NA,"100% ",NA
"132","Habil Jabr","20% ","80% ",NA
"133","Habur Zulaymah",NA,NA,"100% "
"134","Hagr As Sai'ar","50% ","50% ",NA
"135","Hajjah","50% ",NA,"50% "
"136","Hajjah City",NA,"100% ",NA
"137","Hajr","33% ","33% ","33% "
"138","Halimayn","100% ",NA,NA
"139","Harf Sufyan","50% ",NA,"50% "
"140","Harib","100% ",NA,NA
"141","Harib Al Qaramish",NA,NA,"100% "
"142","Hatib","100% ",NA,NA
"143","Hawf",NA,NA,"100% "
"144","Haydan","100% ",NA,NA
"145","Hayran",NA,"33% ","67% "
"146","Hazm Al Udayn",NA,"33% ","67% "
"147","Hubaysh",NA,"67% ","33% "
"148","Hufash","50% ","50% ",NA
"149","Huraidhah","50% ","17% ","33% "
"150","Huswain",NA,NA,"100% "
"151","Huth",NA,"67% ","33% "
"152","Ibb",NA,NA,"100% "
"153","Jabal Ash sharq",NA,NA,"100% "
"154","Jabal Habashy",NA,"33% ","67% "
"155","Jabal Ra's","50% ","50% ",NA
"156","Jahaf",NA,NA,"100% "
"157","Jahran","50% ","50% ",NA
"158","Jardan","50% ","50% ",NA
"159","Jayshan","100% ",NA,NA
"160","Jihanah","33% ","67% ",NA
"161","Juban","50% ",NA,"50% "
"162","Kamaran","100% ",NA,NA
"163","Khamir",NA,"50% ","50% "
"164","Khanfir",NA,"50% ","50% "
"165","Kharab Al Marashi","50% ",NA,"50% "
"166","Kharif",NA,NA,"100% "
"167","Khayran Al Muharraq",NA,NA,"100% "
"168","Khur Maksar",NA,NA,"100% "
"169","Khwlan",NA,"100% ",NA
"170","Kitaf wa Al Boqe'e","100% ",NA,NA
"171","Kuhlan Affar",NA,"100% ",NA
"172","Kuhlan Ash Sharaf",NA,"100% ",NA
"173","Lawdar",NA,NA,"100% "
"174","Ma'ain","67% ",NA,"33% "
"175","Mabyan","100% ",NA,NA
"176","Mahliyah",NA,"100% ",NA
"177","Majz",NA,"67% ","33% "
"178","Majzar","25% ","50% ","25% "
"179","Man'ar",NA,"100% ",NA
"180","Manakhah",NA,"50% ","50% "
"181","Maqbanah","50% ","50% ",NA
"182","Marib",NA,NA,"100% "
"183","Marib City",NA,"100% ",NA
"184","Mashra'a Wa Hadnan",NA,NA,"100% "
"185","Maswarah","50% ","50% ",NA
"186","Mawiyah","33% ","33% ","33% "
"187","Mawza",NA,NA,"100% "
"188","Mayfa'a","50% ",NA,"50% "
"189","Mayfa'at Anss",NA,NA,"100% "
"190","Mazhar",NA,NA,"100% "
"191","Medghal","100% ",NA,NA
"192","Merkhah Al Ulya","100% ",NA,NA
"193","Merkhah As Sufla",NA,"100% ",NA
"194","Monabbih","100% ",NA,NA
"195","Mudhaykhirah","100% ",NA,NA
"196","Mudiyah","100% ",NA,NA
"197","Mukayras","50% ",NA,"50% "
"198","Mustaba","100% ",NA,NA
"199","Na'man","100% ",NA,NA
"200","Najrah","100% ",NA,NA
"201","Nati'","33% ",NA,"67% "
"202","Nihm","67% ",NA,"33% "
"203","Nisab","67% ",NA,"33% "
"204","Old City","67% ",NA,"33% "
"205","Qa'atabah","67% ",NA,"33% "
"206","Qafl Shamer","50% ","50% ",NA
"207","Qarah",NA,"100% ",NA
"208","Qishn",NA,NA,"100% "
"209","Rada'","33% ","33% ","33% "
"210","Radfan",NA,"100% ",NA
"211","Radman Al Awad","33% ","67% ",NA
"212","Raghwan",NA,NA,"100% "
"213","Rakhyah","33% ",NA,"67% "
"214","Rasad",NA,"100% ",NA
"215","Raydah",NA,NA,"100% "
"216","Razih",NA,NA,"100% "
"217","Rumah","100% ",NA,NA
"218","Sa'adah",NA,NA,"100% "
"219","Sa'fan",NA,"50% ","50% "
"220","Sabah",NA,NA,"100% "
"221","Sabir Al Mawadim","50% ","50% ",NA
"222","Sah",NA,NA,"100% "
"223","Sahar",NA,"100% ",NA
"224","Salh","50% ","50% ",NA
"225","Sama",NA,"100% ",NA
"226","Sanhan",NA,NA,"100% "
"227","Saqayn",NA,NA,"100% "
"228","Sayun","100% ",NA,NA
"229","Shada'a",NA,NA,"100% "
"230","Shahan","100% ",NA,NA
"231","Shaharah","100% ",NA,NA
"232","Shara'b Ar Rawnah","67% ",NA,"33% "
"233","Shara'b As Salam",NA,"100% ",NA
"234","Sharas","80% ","20% ",NA
"235","Shibam","100% ",NA,NA
"236","Shibam Kawkaban",NA,NA,"100% "
"237","Shu'aub",NA,"50% ","50% "
"238","Sibah","33% ","33% ","33% "
"239","Sirwah","50% ","50% ",NA
"240","Tarim",NA,"100% ",NA
"241","Thula",NA,"50% ","50% "
"242","Tuban",NA,"67% ","33% "
"243","Usaylan","25% ","75% ",NA
"244","Utmah","33% ","33% ","33% "
"245","Wadi Al Ayn",NA,NA,"100% "
"246","Washhah",NA,"100% ",NA
"247","Wusab Al Ali","50% ","50% ",NA
"248","Yabuth",NA,NA,"100% "
"249","Yahr",NA,"100% ",NA
"250","Zabid",NA,"100% ",NA
"251","Zamakh wa Manwakh",NA,NA,"100% "
"252","Zingibar",NA,"100% ",NA
